0,61,35,629,1883,231,20,1516,1051,1664,1118,566,2145,1818,2158,915,1666,1881,1497,514,833,364,1139,4,35,1394,985,363,1879,1051,771
1,23,35,956,2081,2495,1439,87,980,2093,658,686,728,938,141,278,2400,2187,1811,163,2198,2368,1848,919,205,89,71,1476,502,660,1034
1,116,48,351,1260,2216,1690,1281,2402,2487,1326,1925,1858,439,2205,2033,745,187,1164,1078,1545,1967,1427,1784,1977,641,1753,1042,1944,1605,981
0,80,1,560,1322,745,2136,1144,2142,841,512,1134,1056,652,2390,332,584,1412,1457,1907,1932,663,602,548,1003,1149,652,2446,2096,2487,1020
1,52,31,2419,1445,1258,1128,1904,227,1045,1763,2077,38,544,1883,2018,831,1993,484,2141,882,2084,367,1201,628,549,1521,2283,2485,2047,732
0,100,16,823,934,910,576,461,565,1716,1340,17,2035,2190,2130,139,928,1049,168,2492,1178,2322,2360,266,2483,1734,708,1848,1174,2292,1339
1,67,22,446,947,1937,2222,472,1141,1921,2182,71,1114,742,2053,2008,2482,1308,1630,1001,1968,2352,873,461,2410,1598,1062,1048,392,318,473
1,105,41,39,2470,583,1404,1097,1047,2296,1049,1552,399,1485,1789,1380,2,427,1970,232,1363,2335,2348,1662,2243,697,1911,284,1451,1594,1837
1,72,21,1042,120,1911,2491,922,1646,2038,2294,765,366,2439,292,1218,585,1040,2191,1995,1736,1882,1922,1462,1982,826,2218,513,1885,1762,171
0,114,48,1564,976,1810,1907,1360,898,474,625,1915,2401,1517,283,978,830,1645,1771,1322,21,1822,1423,54,849,1233,361,603,576,1468,416
0,74,23,1495,2256,1878,2455,1604,1254,1009,216,1819,2278,192,1774,1864,77,1377,2364,1531,1395,1956,2047,1027,942,1281,1857,226,1737,1286,116
1,82,39,627,2048,1588,2117,2206,2031,190,817,1279,2276,303,760,1981,1795,1895,1135,557,1584,118,1882,1066,1428,1133,2304,1769,99,585,2485
1,34,23,2315,2059,1328,2069,258,1636,1597,595,1882,1060,1697,850,1389,277,1306,1899,2185,437,651,1123,768,1954,2265,373,1056,151,2137,1202
1,22,41,2351,1240,213,110,2128,558,1757,1727,924,677,1118,782,2026,2440,361,1496,954,2366,2330,1450,883,3,3,2359,2043,1859,223,397
0,67,28,854,34,841,2405,1082,993,1232,1771,2487,691,1712,1192,1855,162,487,455,876,1795,1131,1943,2187,1319,2173,564,1586,1533,1563,1065
0,111,21,71,500,1883,759,1534,2427,575,2287,775,288,1706,886,1348,1248,108,303,489,2057,1466,1690,1351,636,1926,2016,1856,783,915,1316
1,83,6,2103,2429,600,1849,683,1977,2026,2263,2094,120,148,1624,1708,2186,718,1456,1190,1656,2435,2002,1939,689,2115,1315,1237,168,659,1733
1,15,50,360,111,559,2148,1644,1827,1381,369,394,1248,1399,790,1394,922,857,1558,901,1277,671,1929,1927,2442,370,1498,213,1859,63,1456
0,21,20,1527,1754,1081,221,1726,2364,2451,1705,741,1677,2028,2028,584,2357,835,738,133,1886,1738,392,1247,1342,409,1582,2063,2424,215,399
0,80,20,654,2260,2423,2212,1177,396,1504,402,760,1701,2394,1094,2370,174,829,1937,849,1432,874,1941,1871,2013,1709,394,886,2430,182,843
1,91,28,2355,1227,1143,1964,266,1294,2117,2087,1700,638,2017,995,1500,1704,504,1148,208,1220,121,1132,1133,182,2166,680,788,1938,111,1740
1,42,13,1818,1596,1306,2359,1569,2049,1794,853,2431,976,2046,1103,1264,2161,2242,1715,2099,712,2156,2220,883,914,1743,1873,412,1859,1645,695
1,50,20,2311,1370,2117,2420,454,1126,59,2414,539,1770,1245,192,1632,763,1507,2115,60,1161,704,179,1062,646,1931,555,110,479,952,1558
0,105,27,227,2338,429,1616,1242,1249,2373,140,1188,303,2227,2134,509,2412,2188,1815,349,576,1173,1730,1366,696,1510,1034,2224,1059,769,2260
0,12,36,1177,2137,1493,1590,1226,269,2294,2101,8,2198,1841,964,394,54,2425,1377,1352,1146,2100,1890,1942,1390,551,971,2365,1654,830,1293
0,37,49,892,968,2132,319,2414,547,2406,1109,1855,2465,1121,940,586,821,872,70,1969,684,439,2432,1917,1788,97,615,2128,663,841,402
1,66,20,1357,163,521,455,1733,1126,1803,407,231,473,1316,1194,1995,339,1029,89,770,1662,1965,2453,451,2024,557,302,1769,574,2027,2269
1,99,29,1364,1036,2366,1020,2042,2105,1214,478,810,2045,2065,794,1554,1159,1142,1039,659,1919,614,1849,2006,2130,1661,2293,96,1298,928,1671
1,25,29,655,2346,305,1875,2139,1582,131,1871,487,1159,1669,2450,2086,1845,1143,167,596,1194,1788,660,2388,540,2082,494,2496,1614,2269,821
1,46,35,2410,1495,1597,1347,349,11,360,1266,754,255,897,802,433,1567,1655,1490,1193,2334,351,1656,1296,2038,2202,885,303,672,2058,1273
0,66,43,258,2338,1907,474,1567,2224,1255,623,424,2238,1733,1758,32,1979,1998,2416,416,1952,2029,1525,1637,163,1551,2382,883,1624,215,1610
1,42,29,1677,434,2261,1959,608,1404,1471,426,862,2260,551,933,2286,702,2436,630,2281,1806,2377,472,37,1851,1553,329,2068,1527,1608,1686
0,67,16,2031,2003,1367,1242,1643,2211,472,363,1072,1630,132,120,434,2025,250,170,2176,57,1504,849,2098,625,1833,1846,334,1306,1363,2207
1,39,37,843,883,1233,445,87,2291,1150,818,1003,1308,1506,2227,2213,1926,991,397,2059,12,1938,425,875,1357,2388,16,1634,1786,938,2497
0,82,45,1148,453,659,1235,1718,951,839,1407,721,1409,1456,1428,567,1096,2404,30,661,1605,873,2432,719,2020,1878,2132,371,1882,2368,2387
1,70,7,1956,1519,2269,20,1779,1388,1470,1195,988,1004,1929,2115,1785,164,1226,852,1618,882,589,1370,1322,2368,1536,1154,1569,1024,2399,1856
0,49,38,8,1153,395,1539,1848,2309,361,2440,1688,1480,619,689,1961,2152,2127,870,2084,779,1073,1682,2249,2076,2107,1442,1593,810,865,1809
1,18,33,1592,1772,567,2241,1572,2336,792,280,2277,1890,1994,1791,685,106,315,1431,1564,628,80,781,2111,1112,2216,2067,1864,441,917,2409
1,104,29,2486,46,1508,1344,948,1514,1397,930,2220,1155,700,2223,1278,803,1499,1991,1559,75,1457,1581,2333,76,1463,1182,1963,2204,1794,1714
1,55,44,924,692,630,588,1166,2319,10,1307,309,614,1650,157,1447,68,1688,586,2229,1086,2479,603,2370,278,656,2427,1262,1369,915,380
1,36,22,2201,2315,297,2233,2158,195,49,1711,1462,1409,1591,510,1042,1691,144,296,1056,2170,1092,1441,2183,1704,1441,2213,741,1556,1689,1848
1,55,36,1877,684,1892,1745,261,756,1119,564,1005,277,2170,351,976,2451,2366,522,2302,1548,2135,1093,2286,968,872,2237,1357,1642,1043,701
1,82,44,413,235,1232,1263,589,1948,2002,2375,367,1449,1435,887,2459,1244,1501,932,692,30,1559,1107,124,733,1221,2158,1969,843,452,1789
0,84,48,1456,309,1287,1031,1292,2319,729,254,704,32,1124,215,34,1351,734,2325,706,2186,1520,299,961,750,204,2161,701,2213,1003,1295
1,79,10,1715,767,763,1936,819,1498,1011,50,551,1949,134,1429,684,862,2261,828,1122,2462,1125,964,1697,958,2345,862,896,1513,986,452
1,29,3,1853,843,172,37,354,471,2155,766,240,384,1232,144,2474,692,2470,2361,17,198,747,1701,911,1224,742,1889,632,390,1846,1303
0,30,38,2456,1166,1102,959,1705,1624,639,1170,1789,2076,2179,969,2071,1198,1012,2158,2413,291,1316,1726,371,1409,1377,1539,1837,290,2327,1249
0,106,32,2142,1424,1432,777,515,1058,942,632,2489,815,160,707,436,94,1831,435,1509,1604,2448,624,485,1695,1188,20,1536,524,1871,2457
1,32,10,1766,50,385,28,885,101,881,1262,1611,1780,1952,1666,1855,1514,1989,1181,1141,1189,371,1496,84,1455,1723,759,1433,1437,1138,531
1,86,25,2171,1100,1254,1458,53,2464,38,967,2378,1731,1910,1837,1744,1990,1650,2377,1640,30,2442,2126,1150,374,782,1347,708,2079,1151,533
1,53,8,658,84,1118,1085,2148,268,704,1247,505,1496,2258,1153,2443,176,797,997,1979,1620,1433,984,749,296,1299,2187,2251,853,1853,169
0,82,27,1198,2367,1539,530,1632,2253,1206,757,2478,349,1665,358,2079,1164,192,2091,2232,732,2146,2486,1070,335,2433,1192,556,1727,1751,2046
1,107,2,520,1628,1491,1547,623,745,699,984,767,96,701,1571,538,1533,757,888,1116,1336,342,911,610,548,989,231,1720,151,2103,2398
0,109,35,438,1369,2215,506,22,783,2367,830,2468,2440,1011,1904,1221,536,198,518,1269,2492,1409,1183,2135,1059,511,1119,2095,2033,1058,88
